"","parking","rooms","balcony","terrace","price","elevator","surface","heating","swimming_pool","air_conditioner","tipo_vivienda"
"1",FALSE,3,FALSE,FALSE,299000,FALSE,129,TRUE,TRUE,TRUE,"Casa"
"2",FALSE,2,FALSE,FALSE,240000,FALSE,58,FALSE,FALSE,FALSE,"Piso"
"3",FALSE,2,FALSE,FALSE,251000,FALSE,54,FALSE,FALSE,FALSE,"Piso"
"4",FALSE,2,FALSE,FALSE,261000,TRUE,59,FALSE,FALSE,FALSE,"Piso"
"5",FALSE,3,FALSE,TRUE,349000,TRUE,101,TRUE,FALSE,FALSE,"Piso"
"6",TRUE,4,TRUE,TRUE,265000,FALSE,110,FALSE,FALSE,FALSE,"Piso"
"7",FALSE,4,TRUE,TRUE,390000,TRUE,117,FALSE,FALSE,FALSE,"Piso"
"8",FALSE,4,FALSE,TRUE,237800,FALSE,120,FALSE,FALSE,FALSE,"Casa"
"9",FALSE,3,TRUE,FALSE,495000,TRUE,97,TRUE,FALSE,FALSE,"Piso"
"10",FALSE,2,TRUE,TRUE,480000,TRUE,80,TRUE,FALSE,FALSE,"Piso"
"11",FALSE,2,FALSE,TRUE,480000,TRUE,80,TRUE,TRUE,FALSE,"Piso"
"12",FALSE,3,FALSE,FALSE,325000,TRUE,108,TRUE,FALSE,TRUE,"Piso"
"13",FALSE,2,FALSE,FALSE,268000,FALSE,68,FALSE,FALSE,FALSE,"Piso"
"14",FALSE,3,TRUE,FALSE,180000,TRUE,70,FALSE,FALSE,FALSE,"Piso"
"15",FALSE,3,TRUE,FALSE,330000,FALSE,90,TRUE,TRUE,TRUE,"Casa"
"16",FALSE,2,FALSE,FALSE,128000,FALSE,95,FALSE,FALSE,FALSE,"Casa"
"17",FALSE,3,TRUE,FALSE,320000,FALSE,100,TRUE,TRUE,TRUE,"Casa"
"18",FALSE,4,FALSE,TRUE,198000,FALSE,114,TRUE,FALSE,FALSE,"Casa"
"19",FALSE,2,TRUE,FALSE,210000,TRUE,83,TRUE,FALSE,FALSE,"Piso"
"20",FALSE,2,FALSE,TRUE,365000,TRUE,85,TRUE,FALSE,FALSE,"Piso"
"21",TRUE,2,FALSE,TRUE,425000,FALSE,81,FALSE,FALSE,FALSE,"Piso"
"22",FALSE,3,TRUE,TRUE,147000,FALSE,64,FALSE,FALSE,FALSE,"Piso"
"23",FALSE,2,FALSE,TRUE,167000,FALSE,68,FALSE,FALSE,TRUE,"Piso"
"24",FALSE,1,FALSE,FALSE,186455,TRUE,42,FALSE,FALSE,FALSE,"Piso"
"25",FALSE,4,TRUE,TRUE,345000,FALSE,200,TRUE,FALSE,TRUE,"Casa"
"26",FALSE,3,TRUE,TRUE,532500,FALSE,175,FALSE,TRUE,FALSE,"Casa"
"27",FALSE,4,FALSE,FALSE,379343,TRUE,114,FALSE,FALSE,FALSE,"Piso"
"29",FALSE,2,FALSE,FALSE,179900,FALSE,80,FALSE,FALSE,FALSE,"Piso"
"30",FALSE,3,FALSE,FALSE,249000,FALSE,152,FALSE,FALSE,FALSE,"Piso"
"31",FALSE,2,FALSE,FALSE,273000,FALSE,68,FALSE,FALSE,FALSE,"Piso"
"32",FALSE,2,FALSE,FALSE,240000,FALSE,58,FALSE,FALSE,FALSE,"Piso"
"33",FALSE,4,FALSE,FALSE,380000,FALSE,118,FALSE,FALSE,FALSE,"Otros"
"34",FALSE,3,FALSE,FALSE,249000,FALSE,152,FALSE,FALSE,FALSE,"Otros"
"35",FALSE,4,FALSE,FALSE,377000,FALSE,162,FALSE,FALSE,FALSE,"Piso"
"36",FALSE,3,FALSE,FALSE,440000,FALSE,155,FALSE,FALSE,FALSE,"Otros"
"37",FALSE,2,FALSE,FALSE,277000,FALSE,71,FALSE,FALSE,FALSE,"Piso"
"38",FALSE,2,FALSE,TRUE,240000,FALSE,75,FALSE,FALSE,FALSE,"Casa"
"39",FALSE,2,FALSE,FALSE,192000,TRUE,79,FALSE,FALSE,FALSE,"Piso"
"40",FALSE,2,FALSE,FALSE,310000,TRUE,62,FALSE,FALSE,FALSE,"Piso"
"42",FALSE,3,FALSE,FALSE,495000,FALSE,122,FALSE,FALSE,FALSE,"Piso"
"43",FALSE,2,FALSE,FALSE,258500,TRUE,73,FALSE,FALSE,FALSE,"Piso"
"44",FALSE,5,FALSE,FALSE,435000,TRUE,149,FALSE,FALSE,FALSE,"Piso"
"45",FALSE,4,FALSE,FALSE,296000,TRUE,130,FALSE,FALSE,FALSE,"Piso"
"46",FALSE,4,FALSE,FALSE,426354,FALSE,128,FALSE,FALSE,FALSE,"Piso"
"47",FALSE,3,FALSE,FALSE,207000,FALSE,75,FALSE,FALSE,FALSE,"Piso"
"48",FALSE,1,FALSE,FALSE,135000,FALSE,48,FALSE,FALSE,FALSE,"Piso"
"49",FALSE,4,FALSE,FALSE,299000,FALSE,129,FALSE,FALSE,FALSE,"Piso"
"50",FALSE,1,FALSE,FALSE,187340,FALSE,42,FALSE,FALSE,FALSE,"Piso"
"51",FALSE,4,FALSE,TRUE,197000,FALSE,114,FALSE,FALSE,FALSE,"Casa"
